"geographicAreaM49","timePointYears","Value_4103","Value_4101","Value_4102","Value_4105","Value_4104","Value_4106","Value_4107","Value_4100","Value_4160","Value_4162","Value_4168","Value_4108","Value_4109","Value_4110","Value_4150","Value_4155","Value_4157","Value_4154","Value_4156","Value_4158","Value_4164","Value_4176","Value_4174","Value_4182","Value_4452","Value_4185","Value_4187","Value_4188","Value_4190","Value_4192","Value_4509","Value_4193","Value_4194","Value_4196","Value_4195","Value_4253","Value_4251","Value_4252","Value_4250","Value_4254","Value_4255","Value_4256","Value_4257","Value_4263","Value_4264","Value_4265","Value_4451","Value_4271","Value_4260","Value_4273","Value_4275","Value_4300","Value_4303","Value_4304","Value_4305","Value_4311","Value_4308","Value_4309","Value_4310","Value_4313","Value_4312","Value_4316","Value_4317","Value_4314","Value_4315","Value_4319","Value_4323","Value_4320","Value_4324","Value_4321","Value_4325","Value_4322","Value_4327","Value_4326","Value_4328","Value_4318","Value_4330","Value_4307","Value_4331","Value_4445","Value_4400","Value_4446","Value_4448","Value_4450","Value_4455","Value_4454","Value_4457","Value_4458","Value_4112","Value_4459","Value_4462","Value_4379","Value_4461","Value_4463","Value_4464","Value_4466","Value_4465","Value_4467","Value_4468","Value_4470","Value_4471","Value_4197","Value_4514","Value_4513","Value_4531","Value_4532","Value_4538","Value_4449","Value_4550","Value_4549","Value_4551","Value_4552","Value_4553","Value_4554","Value_4548","Value_4555","Value_4546","Value_4547","Value_4556","Value_4557"
"Jordan",1967,307,279,28,594.4,1320,725.6,14.87,8878,0.13,0,0.035,NA,NA,NA,9.855,0.485,0.682,0.45,0.253,516.7,0.165,0.165,0,0.255,0.09,0.65,0.54,0.937,709.8,27.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.5,632000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2054,NA,NA,NA,NA,99400000,NA,96300000,391000000,NA,NA
"Jordan",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.642,0.0066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",1972,319,287,32,786,1812,1026,20.41,8878,0.13,0,0.035,NA,NA,NA,9.855,0.485,0.682,0.45,0.253,376.4,0.165,0.165,0,0.255,0.09,0.65,0.54,0.937,517.1,27.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.1,788000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2054,NA,NA,NA,NA,97200000,NA,146000000,488000000,NA,NA
"Jordan",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451,0.131,0.027,0.293,64.97,29.05,5.987,215.6,0.451,NA,NA,NA,NA,NA,31.27,48.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.13,NA,NA,62.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,107.4,NA,3.155,0.0066,NA,NA,NA,NA,NA,NA,61.65,NA,373.5,0,15.39,9.687,NA,NA,NA,NA,NA,NA
"Jordan",1977,328,294,34,872,2092,1220,23.56,8878,0.13,0,0.035,NA,NA,NA,9.855,0.485,0.682,0.45,0.253,326,0.165,0.165,0,0.255,0.09,0.65,0.54,0.937,447.9,27.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002,2100000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.695,NA,NA,NA,NA,12.91,140.1,NA,NA,NA,0.2054,NA,NA,NA,NA,160000000,NA,415000000,1270000000,NA,NA
"Jordan",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535,0.133,0.025,0.377,70.47,24.86,4.673,217.2,0.535,NA,NA,NA,NA,NA,40.23,57.1,NA,NA,NA,NA,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.45,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,85.86,NA,2.68,0.0066,NA,NA,NA,NA,NA,NA,73.13,NA,749.8,0,47.78,21.18,NA,NA,NA,NA,NA,NA
"Jordan",1982,334.1,296.1,38,914,2463,1549,27.74,8878,0.13,0,0.035,80,47,33,9.855,0.485,0.682,0.45,0.253,276.9,0.165,0.165,0,0.255,0.09,0.65,0.54,0.937,380.4,27.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,4680000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.763,NA,NA,NA,NA,10.15,153.1,15.94,502,NA,0.2054,NA,NA,NA,NA,264000000,NA,1190000000,2820000000,NA,NA
"Jordan",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619,0.135,0.023,0.461,74.47,21.81,3.716,207.6,0.619,NA,NA,NA,NA,NA,49.2,66.06,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.76,NA,NA,45.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,65.03,NA,2.213,0.0066,NA,NA,NA,NA,NA,NA,84.61,NA,890.1,0,67.39,29.33,NA,NA,NA,NA,NA,NA
"Jordan",1987,365,303,62,906,2982,2076,33.59,8878,0.13,0,0.035,91,54,37,9.855,0.485,0.682,0.45,0.253,228.7,0.165,0.165,0,0.255,0.09,0.65,0.54,0.937,314.2,27.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,2266,6760000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.111,NA,NA,NA,NA,7.713,154.6,14.7,619,NA,0.2054,NA,NA,NA,NA,398000000,NA,1550000000,3960000000,NA,NA
"Jordan",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.14,0.1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.3,20.3,5.7,38.3,64.3,NA,NA,64.3,NA,NA,100,54.6,35.1,39.7,25.53,5.7,NA,NA,NA,NA,NA,75.65,NA,19.5,3.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,68.91,NA,NA,NA,5.754,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.53,NA
"Jordan",1992,329.7,259.7,70,915,3744,2829,42.17,8878,0.13,0,0.035,115,69,46,9.855,0.485,0.682,0.45,0.253,182.2,0.165,0.165,0,0.255,0.09,0.65,0.54,0.937,250.3,27.21,NA,NA,NA,NA,NA,0.984,0.214,0.033,0.737,74.9,21.75,3.354,262.8,0.937,NA,NA,NA,NA,NA,78.66,100,4,4,0,1.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1,29,NA,NA,NA,85,NA,NA,NA,6.221,NA,137.4,NA,NA,57.16,1419,5310000000,NA,NA,NA,NA,NA,NA,NA,NA,95.22,75.65,3.714,NA,NA,NA,NA,8.814,196.8,12.57,915,128.1,0.2054,430.8,0,38.31,13.9,363000000,NA,1260000000,2980000000,NA,NA
