"geographicAreaM49","timePointYears","Value_4103","Value_4101","Value_4102","Value_4105","Value_4104","Value_4106","Value_4107","Value_4100","Value_4160","Value_4162","Value_4168","Value_4108","Value_4109","Value_4110","Value_4150","Value_4155","Value_4157","Value_4154","Value_4156","Value_4158","Value_4164","Value_4176","Value_4174","Value_4182","Value_4452","Value_4185","Value_4187","Value_4188","Value_4190","Value_4192","Value_4509","Value_4193","Value_4194","Value_4196","Value_4195","Value_4253","Value_4251","Value_4252","Value_4250","Value_4254","Value_4255","Value_4256","Value_4257","Value_4263","Value_4264","Value_4265","Value_4451","Value_4271","Value_4260","Value_4273","Value_4275","Value_4300","Value_4303","Value_4304","Value_4305","Value_4311","Value_4308","Value_4309","Value_4310","Value_4313","Value_4312","Value_4316","Value_4317","Value_4314","Value_4315","Value_4319","Value_4323","Value_4320","Value_4324","Value_4321","Value_4325","Value_4322","Value_4327","Value_4326","Value_4328","Value_4318","Value_4330","Value_4307","Value_4331","Value_4445","Value_4400","Value_4446","Value_4448","Value_4450","Value_4455","Value_4454","Value_4457","Value_4458","Value_4112","Value_4459","Value_4462","Value_4379","Value_4461","Value_4463","Value_4464","Value_4466","Value_4465","Value_4467","Value_4468","Value_4470","Value_4471","Value_4197","Value_4514","Value_4513","Value_4531","Value_4532","Value_4538","Value_4449","Value_4550","Value_4549","Value_4551","Value_4552","Value_4553","Value_4554","Value_4548","Value_4555","Value_4546","Value_4547","Value_4556","Value_4557","Imputation"
"Afghanistan",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1982,8054,7910,144,10622,12667,2045,19,65286,10,0,9,2845,1991,854,213,37,47,10,1,3722,19,18,0,18,0,55,10,65,5157,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,70,4060,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1987,8045,7910,135,9403,11338,1935,17,65286,10,0,9,2418,1708,710,213,37,47,10,1,4159,19,18,0,18,0,55,10,65,5762,28,NA,NA,NA,NA,NA,26,0,0,25,99,1,0,2303,26,NA,NA,NA,NA,NA,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,134,12,NA,NA,NA,NA,0,2280,68,3516,56,18,NA,0,NA,0,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2660,NA,NA,NA,NA,NA,NA,NA,146,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1992,8030,7910,120,11138,13746,2608,21,65286,10,0,9,2894,2053,841,213,37,47,10,1,3430,19,18,0,18,0,55,10,65,4753,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,67,4308,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3199,NA,NA,NA,3199,NA,NA,3199,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1997,7790,7685,105,14162,18034,3872,27,65286,10,0,9,3791,2679,1112,213,37,47,10,1,2615,19,18,0,18,0,55,10,65,3623,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,65,5828,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,NA,98,0,0,943,20,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,31,NA,93,2,NA,NA,NA,NA,NA,NA,43,NA,12,NA,7,9,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",2002,7753,7678,75,16621,21487,4866,32,65286,10,0,9,4292,2991,1301,213,37,47,10,1,2194,19,18,0,18,0,55,10,65,3040,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3208,NA,NA,NA,3208,NA,NA,3208,NA,NA,100,17,577,82,2631,NA,NA,NA,NA,66,2140,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,2140,66,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,5,930,63,6809,NA,18,NA,NA,NA,NA,1570000000,NA,966000000,1540000000,NA,NA,"No"
"Afghanistan",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,77,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,19,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"No"
"Afghanistan",2007,7910,7794,116,19663,25878,6215,39,65286,10,0,9,5062,3458,1604,213,37,47,10,1,1822,19,18,0,18,0,55,10,65,2525,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,2307,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,6,NA,61,8293,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,"No"
"Afghanistan",2012,7910,7790,120,22131,29727,7596,45,65286,10,0,9,5684,3768,1916,213,37,47,10,1,1586,19,18,0,18,0,55,10,65,2198,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,NA,NA,106,NA,2044,NA,106,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,59,9602,NA,18,NA,NA,NA,NA,NA,0,NA,NA,NA,2,"No"
"Afghanistan",2014,7910,7771,139,NA,NA,NA,NA,65286,10,0,9,5931,3896,2035,213,37,47,10,1,1450,19,18,0,18,0,55,10,65,2008,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,58,10156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"No"
"Afghanistan",2015,NA,NA,NA,23980,32527,8547,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"Afghanistan",1960,7760,7700,60,8539,9344,804,14,65286,10,0,9,2845,1991,854,213,37,47,10,1,5046,19,18,0,18,0,55,10,65,6992,28,NA,NA,NA,NA,NA,10,0,0,25,99,1,0,819,10,NA,NA,NA,NA,NA,39,16,NA,NA,NA,NA,2715,NA,NA,NA,2715,NA,NA,2715,NA,NA,100,15,418,84,2297,NA,NA,NA,NA,NA,2660,NA,NA,34,NA,NA,NA,NA,22,NA,NA,23,58,547000000,NA,NA,NA,2660,NA,NA,NA,NA,100,134,11,128,1,NA,NA,0,2280,70,4060,23,18,NA,0,7,0,1570000000,NA,966000000,1540000000,NA,2,"Yes"
"Afghanistan",1962,7760,7700,60,8539,9344,804,14,65286,10,0,9,2845,1991,854,213,37,47,10,1,5046,19,18,0,18,0,55,10,65,6992,28,NA,NA,NA,NA,NA,10,0,0,25,99,1,0,819,10,NA,NA,NA,NA,NA,39,16,NA,NA,NA,NA,2715,NA,NA,NA,2715,NA,NA,2715,NA,NA,100,15,418,84,2297,NA,NA,NA,NA,NA,2660,NA,NA,34,NA,NA,NA,NA,22,NA,NA,23,58,547000000,NA,NA,NA,2660,NA,NA,NA,NA,100,134,11,124,1,NA,NA,0,2280,70,4060,23,18,NA,0,7,0,1570000000,NA,966000000,1540000000,NA,2,"Yes"
